theta,nu,nx,seed,method,moyal_order,energy_init,energy_final,vorticity_mean,converged
2.6e-70,0.01,32,42,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.01,32,42,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.01,32,42,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.01,32,42,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.01,32,123,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.01,32,123,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.01,32,123,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.01,32,123,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.01,64,42,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.01,64,42,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.01,64,42,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.01,64,42,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.01,64,123,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.01,64,123,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.01,64,123,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.01,64,123,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.001,32,42,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.001,32,42,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.001,32,42,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.001,32,42,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.001,32,123,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.001,32,123,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.001,32,123,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.001,32,123,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.001,64,42,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.001,64,42,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.001,64,42,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.001,64,42,euler,2,352.3586752262791,,0.0,False
2.6e-70,0.001,64,123,rk4,1,352.3586752262791,,0.0,False
2.6e-70,0.001,64,123,rk4,2,352.3586752262791,,0.0,False
2.6e-70,0.001,64,123,euler,1,352.3586752262791,,0.0,False
2.6e-70,0.001,64,123,euler,2,352.3586752262791,,0.0,False
1e-68,0.01,32,42,rk4,1,352.3586752262791,,0.0,False
1e-68,0.01,32,42,rk4,2,352.3586752262791,,0.0,False
1e-68,0.01,32,42,euler,1,352.3586752262791,,0.0,False
1e-68,0.01,32,42,euler,2,352.3586752262791,,0.0,False
1e-68,0.01,32,123,rk4,1,352.3586752262791,,0.0,False
1e-68,0.01,32,123,rk4,2,352.3586752262791,,0.0,False
1e-68,0.01,32,123,euler,1,352.3586752262791,,0.0,False
1e-68,0.01,32,123,euler,2,352.3586752262791,,0.0,False
1e-68,0.01,64,42,rk4,1,352.3586752262791,,0.0,False
1e-68,0.01,64,42,rk4,2,352.3586752262791,,0.0,False
1e-68,0.01,64,42,euler,1,352.3586752262791,,0.0,False
1e-68,0.01,64,42,euler,2,352.3586752262791,,0.0,False
1e-68,0.01,64,123,rk4,1,352.3586752262791,,0.0,False
1e-68,0.01,64,123,rk4,2,352.3586752262791,,0.0,False
1e-68,0.01,64,123,euler,1,352.3586752262791,,0.0,False
1e-68,0.01,64,123,euler,2,352.3586752262791,,0.0,False
1e-68,0.001,32,42,rk4,1,352.3586752262791,,0.0,False
1e-68,0.001,32,42,rk4,2,352.3586752262791,,0.0,False
1e-68,0.001,32,42,euler,1,352.3586752262791,,0.0,False
1e-68,0.001,32,42,euler,2,352.3586752262791,,0.0,False
1e-68,0.001,32,123,rk4,1,352.3586752262791,,0.0,False
1e-68,0.001,32,123,rk4,2,352.3586752262791,,0.0,False
