number,value,datetime_start,datetime_complete,duration,params_theta,state
0,1e+20,2025-07-12 01:01:29.192487,2025-07-12 01:01:29.802108,0 days 00:00:00.609621,3.096010158108155e-73,COMPLETE
1,1e+20,2025-07-12 01:01:29.802108,2025-07-12 01:01:29.946182,0 days 00:00:00.144074,1.0334420488216887e-61,COMPLETE
2,1e+20,2025-07-12 01:01:29.946182,2025-07-12 01:01:30.086257,0 days 00:00:00.140075,4.3639406572057586e-66,COMPLETE
3,1e+20,2025-07-12 01:01:30.086257,2025-07-12 01:01:30.209299,0 days 00:00:00.123042,9.400905432049199e-69,COMPLETE
4,1e+20,2025-07-12 01:01:30.210302,2025-07-12 01:01:30.334698,0 days 00:00:00.124396,1.3193888477530274e-77,COMPLETE
5,1e+20,2025-07-12 01:01:30.336222,2025-07-12 01:01:30.463435,0 days 00:00:00.127213,1.3179241212806576e-77,COMPLETE
6,1e+20,2025-07-12 01:01:30.463435,2025-07-12 01:01:30.636874,0 days 00:00:00.173439,1.451016140460595e-79,COMPLETE
7,1e+20,2025-07-12 01:01:30.638382,2025-07-12 01:01:30.767284,0 days 00:00:00.128902,2.1063130354257324e-63,COMPLETE
8,1e+20,2025-07-12 01:01:30.768289,2025-07-12 01:01:30.905026,0 days 00:00:00.136737,1.0526893636712456e-68,COMPLETE
9,1e+20,2025-07-12 01:01:30.905026,2025-07-12 01:01:31.033551,0 days 00:00:00.128525,1.4502789915706128e-66,COMPLETE
10,1e+20,2025-07-12 01:01:31.035061,2025-07-12 01:01:31.161483,0 days 00:00:00.126422,3.0869713681636884e-73,COMPLETE
11,1e+20,2025-07-12 01:01:31.161483,2025-07-12 01:01:31.284813,0 days 00:00:00.123330,6.314931921771713e-73,COMPLETE
12,1e+20,2025-07-12 01:01:31.284813,2025-07-12 01:01:31.413187,0 days 00:00:00.128374,2.4589076367083326e-61,COMPLETE
13,1e+20,2025-07-12 01:01:31.413187,2025-07-12 01:01:31.545661,0 days 00:00:00.132474,8.650034271226213e-74,COMPLETE
14,1e+20,2025-07-12 01:01:31.545661,2025-07-12 01:01:31.670594,0 days 00:00:00.124933,8.65334870726242e-71,COMPLETE
15,1e+20,2025-07-12 01:01:31.671599,2025-07-12 01:01:31.804922,0 days 00:00:00.133323,1.5819106377276248e-63,COMPLETE
16,1e+20,2025-07-12 01:01:31.805426,2025-07-12 01:01:31.922882,0 days 00:00:00.117456,1.2848995449324573e-75,COMPLETE
17,1e+20,2025-07-12 01:01:31.923883,2025-07-12 01:01:32.051641,0 days 00:00:00.127758,1.819760178045155e-70,COMPLETE
18,1e+20,2025-07-12 01:01:32.051641,2025-07-12 01:01:32.176041,0 days 00:00:00.124400,7.820202319640977e-66,COMPLETE
19,1e+20,2025-07-12 01:01:32.176041,2025-07-12 01:01:32.313469,0 days 00:00:00.137428,8.239720906239324e-61,COMPLETE
